Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
1,Switzerland,Western Europe,"7,587","826,132","9,624",73,"99,379","37,289","23,941",2015
2,Iceland,Western Europe,"7,561","770,416",1,73,"93,884","54,819","74,371",2015
3,Denmark,Western Europe,"7,527","784,114","9,703",70,"96,962","42,894","12,382",2015
4,Norway,Western Europe,"7,522","8,631","94,917",71,1,"43,598","3,386",2015
5,Canada,North America and ANZ,"7,427","784,595","94,322",71,"94,511","5,756","40,285",2015
6,Finland,Western Europe,"7,406","763,273","94,012",71,"95,813","29,339","25,039",2015
7,Netherlands,Western Europe,"7,378","78,646","91,295",71,"91,942","59,821","42,357",2015
8,Sweden,Western Europe,"7,364","787,799","9,193",72,"98,517","45,562","2,056",2015
9,New Zealand,North America and ANZ,"7,286","739,573","94,112",72,"95,468","59,683","22,231",2015
10,Australia,North America and ANZ,"7,284","788,909","93,368",72,"97,239","54,734","35,431",2015
11,Israel,Middle East and North Africa,"7,278","726,786","87,285",72,"61,695","41,679","85,894",2015
12,Costa Rica,Latin America and Caribbean,"7,226","565,412","88,279",70,"94,629","32,036","80,826",2015
13,Austria,Western Europe,"7,2","791,067","92,498",71,"93,222","41,574","66,161",2015
14,Mexico,Latin America and Caribbean,"7,187","603,719","65,218",68,"71,941","17,683","61,385",2015
15,United States,North America and ANZ,"7,119","824,951","88,938",70,"8,153","50,391","7,121",2015
16,Brazil,Latin America and Caribbean,"6,983","580,471","87,922",64,"73,237","18,312","68,253",2015
17,Luxembourg,Western Europe,"6,946","925,162","86,977",72,"91,952","35,223","31,515",2015
18,Ireland,Western Europe,"6,94","790,313","97,664",71,"92,242","57,673","47,994",2015
19,Belgium,Western Europe,"6,937","773,666","91,687",71,"87,274","27,956","59,161",2015
20,United Arab Emirates,Middle East and North Africa,"6,901","844,328","80,283",68,"95,795","33,205","30,091",2015
21,United Kingdom,Western Europe,"6,867","74,915","91,674",72,"89,029","65,226","41,899",2015
22,Oman,Middle East and North Africa,"6,853","804,603","7,715",66,"94,476","27,067","4,107",2015
23,Venezuela,Latin America and Caribbean,"6,81","61,774","89,569",65,"64,068","7,339","79,944",2015
24,Singapore,Southeast Asia,"6,798","900,287","72,741",76,"81,005","39,082","10,837",2015
25,Panama,Latin America and Caribbean,"6,786","629,152","85,471",68,"80,943",307,"83,204",2015
26,Germany,Western Europe,"6,75","78,556","92,665",71,"91,794","3,545","60,423",2015
27,Chile,Latin America and Caribbean,"6,67","654,959","80,191",70,"65,895","4,192","76,683",2015
28,Qatar,Middle East and North Africa,"6,611",10,"7,692",68,"9,562","40,927","5,406",2015
29,France,Western Europe,"6,575","755,899","89,884",73,"82,139","15,494","62,592",2015
30,Argentina,Latin America and Caribbean,"6,574","623,223","89,018",67,"67,152","14,388","84,629",2015
31,Czech Republic,Central and Eastern Europe,"6,505","697,451","86,037",69,"69,228","13,426","95,195",2015
32,Uruguay,Latin America and Caribbean,"6,485","628,049","86,213",68,"90,129",292,"55,504",2015
33,Colombia,Latin America and Caribbean,"6,477","543,424","88,444",64,"79,832","2,312","90,723",2015
34,Thailand,Southeast Asia,"6,455","571,991","90,217",65,"83,114","72,411","94,226",2015
35,Saudi Arabia,Middle East and North Africa,"6,411","825,484",773,65,"46,359","17,221","4,107",2015
36,Spain,Western Europe,"6,329","7,277","93,693",73,"6,861","22,902","88,407",2015
37,Malta,Western Europe,"6,302","714,263","92,854",71,"90,133","65,024","75,385",2015
38,Taiwan,East Asia,"6,298","763,708","76,747",70,"59,338","31,884","85,271",2015
39,Kuwait,Middle East and North Africa,"6,295","919,429","83,149",65,"82,868","2,039","53,599",2015
40,Suriname,Latin America and Caribbean,"6,269","588,815","69,318",61,"89,076","21,348","75,298",2015
41,Trinidad and Tobago,Latin America and Caribbean,"6,168","716,886","84,404",61,"83,443","4,001","97,934",2015
42,El Salvador,Latin America and Caribbean,"6,13","452,282","73,103",63,"60,248","13,435","78,663",2015
43,Guatemala,Latin America and Caribbean,"6,123","441,035","74,422",62,"86,203","34,539","82,838",2015
44,Uzbekistan,Commonwealth of Independent States,"6,003","374,131","95,593",60,"9,828","28,694","44,147",2015
45,Slovakia,Central and Eastern Europe,"5,995","691,492","90,569",67,"47,409","21,225","93,784",2015
46,Japan,East Asia,"5,987","75,173","89,651",75,"74,081","13,451","67,277",2015
47,South Korea,East Asia,"5,984","736,272","68,301",74,"49,585","23,316","85,764",2015
48,Ecuador,Latin America and Caribbean,"5,975","51,113","71,246",67,"72,528","14,501","67,224",2015
49,Bahrain,Middle East and North Africa,"5,96","783,099","86,736",66,"67,925","21,815","44,557",2015
50,Italy,Western Europe,"5,948","740,136","85,419",73,"39,174","28,676","94,744",2015
51,Bolivia,Latin America and Caribbean,"5,89","403,057","69,775",58,"85,727","25,803","84,056",2015
52,Moldova,Commonwealth of Independent States,"5,889","351,674","72,404",61,"49,002","26,325","97,074",2015
53,Paraguay,Latin America and Caribbean,"5,878","449,503","9,305",63,"80,478","43,021","85,067",2015
54,Kazakhstan,Commonwealth of Independent States,"5,855","664,062","80,045",62,"77,119","1,486","84,683",2015
55,Slovenia,Central and Eastern Europe,"5,848","700,998","90,844",70,"90,865","31,824","93,139",2015
56,Lithuania,Central and Eastern Europe,"5,833","67,867","89,675",65,"31,867","3,318","98,131",2015
57,Nicaragua,Latin America and Caribbean,"5,828","350,947","8,143",66,"82,831","34,949","0,65",2015
58,Peru,Latin America and Caribbean,"5,824","532,525","69,503",65,"61,959","18,824","89,148",2015
59,Belarus,Commonwealth of Independent States,"5,813","610,455","87,923",65,"56,646","13,879","65,411",2015
60,Poland,Central and Eastern Europe,"5,791","665,842","91,246",67,"79,318","21,057","92,369",2015
61,Malaysia,Southeast Asia,"5,77","665,435","76,323",65,"79,172","41,558","80,974",2015
62,Croatia,Central and Eastern Europe,"5,759","640,398","56,784",67,"38,647",684,"95,597",2015
63,Libya,Middle East and North Africa,"5,754","66,933","79,774",64,"62,216","22,987","80,028",2015
64,Russia,Commonwealth of Independent States,"5,716","672,997","88,157",63,"54,766",25,"94,555",2015
65,Jamaica,Latin America and Caribbean,"5,709","479,395","82,085",64,"75,316","26,675","95,835",2015
66,North Cyprus,Western Europe,"5,695","714,652","76,313",72,"73,204","32,881","74,126",2015
67,Cyprus,Western Europe,"5,689","714,692","63,697",72,"60,729","38,496","88,864",2015
68,Algeria,Middle East and North Africa,"5,605","555,657","76,857",61,"42,672","9,828","68,504",2015
69,Kosovo,Central and Eastern Europe,"5,589","474,132","57,906",62,"36,953","3,557","9,141",2015
70,Turkmenistan,Commonwealth of Independent States,"5,548","567,006","87,481",58,"71,087","21,333","44,115",2015
71,Mauritius,Sub-Saharan Africa,"5,477","596,071","7,026",64,"83,714","47,425","86,373",2015
72,Hong Kong,East Asia,"5,474","81,994","75,464",75,"89,003","49,602","32,736",2015
73,Estonia,Central and Eastern Europe,"5,429","681,338","87,568",67,"67,023","10,906","72,488",2015
74,Indonesia,Southeast Asia,"5,399","489,981","77,525",62,"69,597","64,752",1,2015
75,Vietnam,Southeast Asia,"5,36","373,967","65,058",66,"88,758","21,184","81,082",2015
76,Turkey,Middle East and North Africa,"5,332","627,647","67,487",65,"34,066","15,396","71,471",2015
77,Kyrgyzstan,Commonwealth of Independent States,"5,286","280,569","82,094",62,"64,918","37,732","92,333",2015
78,Nigeria,Sub-Saharan Africa,"5,268","387,095","64,491",45,"51,265","34,218","92,697",2015
79,Bhutan,South Asia,"5,253","455,759","78,728",59,"79,444","60,308","72,016",2015
80,Azerbaijan,Commonwealth of Independent States,"5,212","605,702","66,889",62,"5,529",98,"70,891",2015
81,Pakistan,South Asia,"5,194","352,236","29,532",57,"18,069","42,306","8,104",2015
82,Montenegro,Central and Eastern Europe,"5,192","576,415","64,581",65,"27,264","20,279","74,098",2015
83,Jordan,Middle East and North Africa,"5,192","533,583","7,516",64,"60,713","13,887","74,102",2015
84,China,East Asia,"5,14","526,566","67,517",68,"77,191","10,285","94,961",2015
85,Zambia,Sub-Saharan Africa,"5,129","278,261","65,333",50,"72,905","24,615","7,741",2015
86,Romania,Central and Eastern Europe,"5,124","617,272","63,176",67,"52,361","17,274","98,825",2015
87,Serbia,Central and Eastern Europe,"5,123","544,558","72,003",66,"30,022","24,163","95,258",2015
88,Portugal,Western Europe,"5,102","686,169","81,253",70,"7,685","17,238","98,047",2015
89,Latvia,Central and Eastern Europe,"5,098","658,489","78,134",65,"44,303",229,"88,527",2015
90,Philippines,Southeast Asia,"5,073","417,249","73,822",60,"93,388",314,"77,753",2015
91,Somaliland region,Sub-Saharan Africa,"5,057","111,491","67,858",55,"69,553","63,223","27,654",2015
92,Morocco,Middle East and North Africa,"5,013","434,681","45,709",61,"62,251","9,011","84,516",2015
93,Macedonia,Central and Eastern Europe,"5,007","543,361","71,481",65,"49,956","28,093","90,348",2015
94,Mozambique,Sub-Saharan Africa,"4,971","49,149","73,188",42,"50,821","2,798","71,729",2015
95,Albania,Central and Eastern Europe,"4,959","519,798","57,361",68,"53,354","17,933","88,381",2015
96,Bosnia and Herzegovina,Central and Eastern Europe,"4,949","492,324","65,549",67,"13,804","31,171","99,589",2015
97,Lesotho,Sub-Saharan Africa,"4,898","222,106","74,241",41,"47,433","20,591","77,345",2015
98,Dominican Republic,Latin America and Caribbean,"4,885","529,675","83,583",63,"86,112","27,245","74,209",2015
99,Laos,Southeast Asia,"4,876","349,416","52,632",59,"88,977","53,012","56,063",2015
100,Mongolia,East Asia,"4,874","48,993","92,752",60,"6,514","41,752","9,517",2015
101,Swaziland,Sub-Saharan Africa,"4,867","421,236","76,509",41,"45,777","22,942","94,456",2015
102,Greece,Western Europe,"4,857","682,708","66,275",71,"11,495",0,"97,469",2015
103,Lebanon,Middle East and North Africa,"4,839","606,739","57,053",69,"50,641","27,459","91,698",2015
104,Hungary,Central and Eastern Europe,"4,8","663,118","85,731",66,"47,948","16,083","95,003",2015
105,Honduras,Latin America and Caribbean,"4,788","352,173","67,998",64,"59,947","28,933","87,634",2015
106,Tajikistan,Commonwealth of Independent States,"4,786","230,991","61,019",59,705,"28,866","72,691",2015
107,Tunisia,Middle East and North Africa,"4,739","521,253","43,095",65,"39,222","8,081","8,848",2015
