Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
1,Switzerland,Western Europe,0.07647979139504561,0.8261534799904797,0.009643286573146292,0.7391304347826086,0.102770423991727,0.03778014184397163,0.024605344295991777,2015
2,Iceland,Western Europe,0.07614080834419816,0.7704360313368148,0.001002004008016032,0.7391304347826086,0.09708790072388832,0.055541033434650465,0.07643473792394655,2015
3,Denmark,Western Europe,0.07569752281616687,0.7841343874940749,0.009722444889779558,0.6739130434782608,0.1002709410548087,0.04345896656534955,0.012725590955806783,2015
4,Norway,Western Europe,0.07563233376792698,0.008631224411834709,0.09510721442885771,0.6956521739130435,0.001034126163391934,0.044172239108409325,0.0034799588900308325,2015
5,Canada,North America And Anz,0.07439374185136895,0.7846154000004001,0.09451102204408818,0.6956521739130435,0.09773629782833505,0.0058318135764944285,0.041402877697841727,2015
6,Finland,Western Europe,0.07411994784876139,0.763292845613986,0.0942004008016032,0.6956521739130435,0.09908273009307136,0.029725430597771024,0.02573381294964029,2015
7,Netherlands,Western Europe,0.07375488917861799,0.07864804484916608,0.09147795591182364,0.6956521739130435,0.09507962771458117,0.06060891590678825,0.043532374100719425,2015
8,Sweden,Western Europe,0.07357235984354626,0.7878194833065659,0.009211422845691382,0.7173913043478259,0.10187900723888314,0.04616210739614995,0.0021130524152106886,2015
9,New Zealand,North America And Anz,0.0725554106910039,0.7395922293979643,0.0943006012024048,0.7173913043478259,0.09872595656670115,0.06046909827760892,0.022847893114080167,2015
10,Australia,North America And Anz,0.07252933507170793,0.7889295121673163,0.09355511022044087,0.7173913043478259,0.10055739400206827,0.0554549138804458,0.03641418293936279,2015
11,Israel,Middle East And North Africa,0.07245110821382006,0.7268048969273201,0.08745991983967935,0.7173913043478259,0.06380041365046536,0.04222796352583587,0.08827749229188078,2015
12,Costa Rica,Latin America And Caribbean,0.07177314211212515,0.5654267010942285,0.08845591182364729,0.6739130434782608,0.09785832471561531,0.03245795339412361,0.08306885919835559,2015
13,Austria,Western Europe,0.07143415906127769,0.7910875682767753,0.09268336673346693,0.6956521739130435,0.09640330920372285,0.042121580547112465,0.06799691675231244,2015
14,Mexico,Latin America And Caribbean,0.07126466753585396,0.6037346971021247,0.06534869739478957,0.6304347826086956,0.07439607032057911,0.017915906788247216,0.06308838643371018,2015
15,United States,North America And Anz,0.07037809647979137,0.8249724492836814,0.08911623246492985,0.6739130434782608,0.008431230610134437,0.05105471124620061,0.007318602261048305,2015
16,Brazil,Latin America And Caribbean,0.06860495436766621,0.5804860926384087,0.08809819639278556,0.5434782608695652,0.07573629782833506,0.018553191489361704,0.07014696813977389,2015
17,Luxembourg,Western Europe,0.06812255541069098,0.9251860548374259,0.08715130260521042,0.7173913043478259,0.0950899689762151,0.03568693009118541,0.03238951695786228,2015
18,Ireland,Western Europe,0.06804432855280312,0.7903335486722655,0.09785971943887775,0.6956521739130435,0.09538986556359877,0.05843262411347518,0.04932579650565262,2015
19,Belgium,Western Europe,0.06800521512385918,0.7736861158390119,0.09187074148296592,0.6956521739130435,0.09025232678386765,0.0283242147922999,0.06080267214799589,2015
20,United Arab Emirates,Middle East And North Africa,0.06753585397653193,0.8443499530987806,0.0804438877755511,0.6304347826086956,0.0990641158221303,0.033642350557244176,0.03092600205549846,2015
21,United Kingdom,Western Europe,0.06709256844850064,0.07491694784064387,0.09185771543086173,0.7173913043478259,0.09206721820062048,0.06608510638297872,0.043061664953751286,2015
22,Oman,Middle East And North Africa,0.06691003911342892,0.8046239202219257,0.007730460921843686,0.5869565217391304,0.09770010341261634,0.027423505572441744,0.004220966084275437,2015
23,Venezuela,Latin America And Caribbean,0.06634941329856582,0.06177560616576031,0.08974849699398797,0.5652173913043479,0.06625439503619442,0.00743566362715299,0.08216238437821172,2015
24,Singapore,Southeast Asia,0.06619295958279008,0.9003104080706099,0.07288677354709418,0.8043478260869565,0.0837693898655636,0.039596757852077,0.011137718396711202,2015
25,Panama,Latin America And Caribbean,0.06603650586701433,0.6291683583773179,0.08564228456913828,0.6304347826086956,0.08370527404343331,0.3110435663627153,0.08551284686536485,2015
26,Germany,Western Europe,0.06556714471968708,0.07855804250910524,0.09285070140280562,0.6956521739130435,0.09492657704239918,0.0035916919959473152,0.062099691675231244,2015
27,Chile,Latin America And Caribbean,0.06452411994784875,0.6549760293767638,0.08035170340681362,0.6739130434782608,0.06814374353671147,0.004247213779128674,0.0788108941418294,2015
28,Qatar,Middle East And North Africa,0.06375488917861798,0.010000260006760176,0.007707414829659318,0.6304347826086956,0.009888314374353672,0.041466058763931106,0.00555601233299075,2015
29,France,Western Europe,0.06328552803129073,0.755918653885001,0.09006412825651301,0.7391304347826086,0.08494208893485006,0.01569807497467072,0.06432887975334019,2015
30,Argentina,Latin America And Caribbean,0.06327249022164275,0.6232392042193097,0.08919639278557114,0.6086956521739131,0.06944364012409515,0.014577507598784196,0.08697738951695787,2015
31,Czech Republic,Central And Eastern Europe,0.06237288135593219,0.6974691341974892,0.08620941883767536,0.6521739130434783,0.0715904860392968,0.013602836879432626,0.0978365878725591,2015
32,Uruguay,Latin America And Caribbean,0.06211212516297261,0.6280653296985722,0.08638577154308616,0.6304347826086956,0.09320475698035162,0.29584599797365757,0.05704419321685509,2015
